order_id,customer_id,order_date,status,order_amount,discount,loaded_at
1001,1,2026-04-01,completed,120.0,10.0,2026-04-01 10:00:00
1002,2,2026-04-01,completed,80.0,5.0,2026-04-01 11:00:00
1003,3,2026-04-02,cancelled,50.0,5.0,2026-04-02 09:00:00
1004,4,2026-04-02,shipped,200.0,20.0,2026-04-02 12:00:00
1005,5,2026-04-03,completed,150.0,15.0,2026-04-03 13:00:00
1006,6,2026-04-03,pending,75.0,0.0,2026-04-03 14:00:00
1007,7,2026-04-04,completed,90.0,8.0,2026-04-04 15:00:00
1008,8,2026-04-04,completed,300.0,30.0,2026-04-04 16:00:00
1009,99,2026-04-05,completed,60.0,5.0,2026-04-05 09:00:00
1010,9,2026-04-05,returned,110.0,12.0,2026-04-05 10:00:00
1011,10,2026-04-06,completed,-25.0,0.0,2026-04-06 10:30:00
1012,11,2026-04-06,completed,250.0,20.0,2026-04-06 11:00:00
1013,12,2026-04-07,processing,175.0,15.0,2026-04-07 12:00:00
1014,4,2026-04-08,delayed,125.0,10.0,2026-04-08 13:00:00
1015,5,2026-04-09,completed,220.0,25.0,2026-04-09 14:00:00
