payment_id,order_id,payment_amount,currency,payment_status,paid_at
5001,1001,110.0,USD,paid,2026-04-01 10:10:00
5002,1002,75.0,USD,paid,2026-04-01 11:10:00
5003,1003,45.0,USD,refunded,2026-04-02 09:10:00
5004,1004,180.0,USD,paid,2026-04-02 12:10:00
5005,1005,135.0,USD,paid,2026-04-03 13:10:00
5006,1006,75.0,USD,pending,2026-04-03 14:10:00
5007,1007,82.0,USD,paid,2026-04-04 15:10:00
5008,1008,270.0,USD,paid,2026-04-04 16:10:00
5009,1009,55.0,USD,paid,2026-04-05 09:10:00
5010,1010,98.0,USD,refunded,2026-04-05 10:10:00
5011,1011,-25.0,USD,paid,2026-04-06 10:40:00
5012,1012,230.0,USD,paid,2026-04-06 11:10:00
5013,1013,160.0,USD,pending,2026-04-07 12:10:00
5014,1014,115.0,USD,paid,2026-04-08 13:10:00
5015,1015,195.0,USD,paid,2026-04-09 14:10:00
